year,month,airline,avg_arr_delay,rolling_3mo_avg_delay,rolling_3mo_flights
2024,1,9E,10.534366162547645,10.534366162547645,16266
2024,2,9E,-6.477792906697789,2.028286627924928,31689
2024,3,9E,-3.7859572970436415,0.09020531960207157,48737
2024,4,9E,-2.237950731881471,-4.1672336452076335,49277
2024,5,9E,3.1404358353510897,-0.9611573978580076,49961
2024,6,9E,5.482910216718266,2.1284651067292946,49063
2024,7,9E,19.670826243146152,9.431390765071836,48124
2024,8,9E,8.21607187735612,11.12326944574018,47933
2024,9,9E,-4.942445586648899,7.648150844617791,47542
2024,10,9E,-7.108841517724601,-1.2784050756724603,48516
2024,11,9E,-6.268498282859819,-6.106595129077774,48615
2024,12,9E,4.325832947709394,-3.0171689509583417,50144
2024,1,AA,19.12189545060317,19.12189545060317,76098
2024,2,AA,4.829192588132986,11.975544019368078,150843
2024,3,AA,16.497277766170562,13.482788601635571,232210
2024,4,AA,12.724005023063821,11.350158459122456,236541
2024,5,AA,30.066248806112704,19.762510531782365,245556
2024,6,AA,22.953251473594854,21.914501767590462,247828
2024,7,AA,31.646271621574527,28.22192396709403,253482
2024,8,AA,21.51864625996982,25.372723118379735,253224
2024,9,AA,5.639921160635206,19.60161301405985,249748
2024,10,AA,2.0459056783580873,9.734824366321037,249711
2024,11,AA,2.568077518160124,3.417968119051139,242475
2024,12,AA,10.710146057487396,5.108043084668536,239268
2025,1,AA,5.550936557563014,6.276386711070177,225508
2025,2,AA,7.005380632623167,7.7554877492245256,218193
2025,3,AA,10.698896421057812,7.751737870414664,222518
2025,4,AA,11.898363405399406,9.86754681969346,231315
2025,5,AA,13.930506755960101,12.175922194139106,247178
2025,6,AA,22.99516340026163,16.274677853873712,249220
2025,7,AA,26.812952775847243,21.24620764402299,253030
2025,8,AA,20.340268481104385,23.382794885737752,249637
2025,9,AA,8.321003495999895,18.49140825098384,242687
2025,10,AA,10.096164941655775,12.919145639586686,242721
2024,1,AS,10.267603711790393,10.267603711790393,14656
2024,2,AS,-1.0255889035035275,4.621007404143433,31382
2024,3,AS,4.156903980303652,4.4663062628635055,50878
2024,4,AS,3.4112410723527584,2.1808520497176276,55544
2024,5,AS,5.904162724692526,4.490769259116312,59958
2024,6,AS,7.4755826102757466,5.596995469107011,62475
2024,7,AS,7.368745774171738,6.916163703046671,66817
2024,8,AS,7.711876195444271,7.518734859963918,68681
2024,9,AS,2.8451980568011956,5.975273342139069,68076
2024,10,AS,0.34399134241723645,3.633688531554234,64741
2024,11,AS,0.2789062903809376,1.156031896533123,61084
2024,12,AS,3.968999648294227,1.5306324270308005,59579
2025,1,AS,-0.11936383928571428,1.3761806997964834,57170
2025,2,AS,2.797406502537117,2.2156807705152097,53786
2025,3,AS,1.2256674821827465,1.3012367151447164,52685
2025,4,AS,1.4333597255212458,1.8188112367470364,53710
2025,5,AS,7.007582061950994,3.2222030898849954,59377
2025,6,AS,10.947236853852335,6.462726213774858,62977
2025,7,AS,12.009347816678929,9.988055577494086,67139
2025,8,AS,8.18421399973602,10.380266223422428,68238
2025,9,AS,-0.994324520979869,6.399745765145027,66451
2025,10,AS,2.9260340391846427,3.371974505980264,63556
2024,1,B6,13.470227579756832,13.470227579756832,19246
2024,2,B6,7.5283108393083085,10.49926920953257,38214
2024,3,B6,17.553537824614228,12.850692081226455,59470
2024,4,B6,7.11771526517443,10.733187976365656,60060
2024,5,B6,9.586321067070287,11.419191385619648,62234
