airport,n_departures,avg_dep_delay,pct_arr_del15,cancellation_rate
ABE,683,12.572474377745241,0.1595900439238653,0.020086083213773313
ABI,292,2.5034246575342465,0.17123287671232876,0.006802721088435374
ABQ,3440,8.24970930232558,0.16831395348837208,0.011494252873563218
ABR,119,9.369747899159664,0.09243697478991597,0.032520325203252036
ABY,120,26.483333333333334,0.15833333333333333,0.0
ACT,180,15.61111111111111,0.2111111111111111,0.0374331550802139
ACV,286,29.702797202797203,0.2762237762237762,0.027210884353741496
ACY,544,5.505514705882353,0.19669117647058823,0.01090909090909091
ADK,17,-18.176470588235293,0.11764705882352941,0.19047619047619047
ADQ,114,4.754385964912281,0.21929824561403508,0.02564102564102564
AEX,299,16.51505016722408,0.21739130434782608,0.02922077922077922
AGS,487,24.344969199178646,0.23613963039014374,0.008146639511201629
ALB,1746,7.941580756013746,0.1660939289805269,0.014116318464144552
ALW,120,4.016666666666667,0.20833333333333334,0.11764705882352941
AMA,790,6.265822784810126,0.1810126582278481,0.024691358024691357
ANC,2201,10.169922762380736,0.19809177646524306,0.047186147186147186
APN,101,17.306930693069308,0.19801980198019803,0.11403508771929824
ASE,1877,30.53436334576452,0.3217900905700586,0.08971871968962172
ATL,51136,8.391094336670838,0.16696652065081352,0.005697174745766007
ATW,896,23.774553571428573,0.22767857142857142,0.032397408207343416
AUS,12565,11.281575805809789,0.20437723836052527,0.01912568306010929
AVL,1606,8.846824408468244,0.16811955168119552,0.011692307692307693
AVP,250,30.588,0.192,0.015748031496062992
AZA,987,4.757852077001013,0.12563323201621074,0.011022044088176353
AZO,160,6.0375,0.16875,0.047619047619047616
BDL,3191,12.765277342525854,0.20651833281103102,0.023262932353841446
BET,118,17.43220338983051,0.4322033898305085,0.03278688524590164
BFF,101,13.841584158415841,0.1485148514851485,0.028846153846153848
BFL,358,5.164804469273743,0.11173184357541899,0.005555555555555556
BGM,61,7.557377049180328,0.14754098360655737,0.07575757575757576
BGR,475,6.808421052631579,0.1431578947368421,0.053784860557768925
BHM,2533,9.393209632846427,0.16541650217133833,0.019357336430507164
BIH,104,21.557692307692307,0.27884615384615385,0.07964601769911504
BIL,526,4.404942965779468,0.21102661596958175,0.007547169811320755
BIS,536,23.902985074626866,0.20335820895522388,0.018315018315018316
BJI,119,19.84873949579832,0.17647058823529413,0.01652892561983471
BLI,404,9.396039603960396,0.16584158415841585,0.00980392156862745
BLV,115,34.31304347826087,0.22608695652173913,0.017094017094017096
BMI,276,16.141304347826086,0.22826086956521738,0.03832752613240418
BNA,14566,11.210764794727448,0.17657558698338596,0.0356835484938762
BOI,3077,9.77185570360741,0.20506987325316867,0.01092896174863388
BOS,20252,11.023158206596879,0.18990716966225557,0.020980373199265205
BPT,120,13.491666666666667,0.2,0.01639344262295082
BQK,120,19.608333333333334,0.26666666666666666,0.0
BQN,429,9.988344988344988,0.1864801864801865,0.013793103448275862
BRD,102,8.794117647058824,0.13725490196078433,0.0
BRO,219,1.0639269406392695,0.1232876712328767,0.013513513513513514
BRW,59,19.220338983050848,0.288135593220339,0.1323529411764706
BTM,110,-5.572727272727272,0.07272727272727272,0.0
BTR,771,14.618677042801556,0.20103761348897536,0.021573604060913704
BTV,999,13.054054054054054,0.17517517517517517,0.02631578947368421
BUF,3151,12.043160901301174,0.19390669628689305,0.0705014749262537
BUR,4393,8.76257682676986,0.16822217163669473,0.02160356347438753
BWI,14445,11.81294565593631,0.21523018345448253,0.019814073420641922
BZN,1642,19.174177831912303,0.22959805115712545,0.019701492537313434
CAE,969,7.368421052631579,0.15273477812177502,0.021212121212121213
CAK,520,9.015384615384615,0.17884615384615385,0.022556390977443608
CDC,102,1.1764705882352942,0.08823529411764706,0.0
CDV,118,1.8644067796610169,0.17796610169491525,0.04065040650406504
CHA,967,9.560496380558428,0.1923474663908997,0.025201612903225805
CHO,473,6.619450317124736,0.19027484143763213,0.046370967741935484
CHS,3459,11.150332466030644,0.16131830008673026,0.016491327836224055
CID,1147,24.31647776809067,0.21621621621621623,0.05363036303630363
CIU,119,48.865546218487395,0.2605042016806723,0.05555555555555555
CKB,28,51.357142857142854,0.21428571428571427,0.0
CLE,6073,9.862012185081507,0.17240243701630167,0.029717207221600896
CLL,180,8.027777777777779,0.17222222222222222,0.02702702702702703
CLT,32146,12.563740434268649,0.2213961301561625,0.010069904228127983
CMH,6211,6.9465464498470455,0.16583480920946708,0.01662444585180494
CMI,239,10.95397489539749,0.17154811715481172,0.06274509803921569
CMX,119,6.361344537815126,0.19327731092436976,0.11851851851851852
CNY,31,3.193548387096774,0.0967741935483871,0.06060606060606061
COS,1810,11.87513812154696,0.19281767955801105,0.012547735951991271
COU,260,11.26923076923077,0.18846153846153846,0.07142857142857142
CPR,93,-0.8602150537634409,0.06451612903225806,0.0
CRP,630,5.630158730158731,0.15873015873015872,0.01098901098901099
CRW,512,28.8359375,0.26171875,0.028462998102466792
CSG,160,26.7875,0.25625,0.012345679012345678
CVG,6117,7.265162661435344,0.1605362105607324,0.014499758337361043
CWA,120,5.625,0.08333333333333333,0.01639344262295082
CYS,111,6.81981981981982,0.08108108108108109,0.05128205128205128
DAB,430,9.762790697674419,0.11627906976744186,0.004629629629629629
DAL,11559,9.729734406090492,0.19127952245003893,0.018760611205432938
DAY,1132,9.217314487632509,0.1881625441696113,0.013937282229965157
DCA,22784,10.071980337078651,0.17222612359550563,0.0297662138568326
DDC,102,15.519607843137255,0.1568627450980392,0.08108108108108109
DEC,162,29.15432098765432,0.14814814814814814,0.07428571428571429
DEN,45120,14.763652482269503,0.2488031914893617,0.02582260989722774
DFW,46249,13.93736080780125,0.2327617894440961,0.014426970123172655
DHN,120,15.841666666666667,0.18333333333333332,0.0
DIK,105,9.466666666666667,0.12380952380952381,0.07079646017699115
DLH,286,21.62937062937063,0.19230769230769232,0.01718213058419244
DRO,528,13.691287878787879,0.22537878787878787,0.011235955056179775
DSM,2429,21.738987237546315,0.22972416632358997,0.04219242902208202
DTW,18570,13.747388260635434,0.2012924071082391,0.017979904812268643
DVL,110,31.636363636363637,0.10909090909090909,0.12
ECP,856,6.29088785046729,0.13551401869158877,0.0069605568445475635
EGE,1233,25.417680454176804,0.27169505271695055,0.00963855421686747
EKO,60,1.35,0.06666666666666667,0.01639344262295082
ELM,164,37.859756097560975,0.25,0.006060606060606061
ELP,2443,7.894392140810479,0.1494064674580434,0.01012965964343598
ESC,102,2.8529411764705883,0.10784313725490197,0.02857142857142857
EUG,1126,16.58525754884547,0.17317939609236235,0.07477403451109285
EVV,297,9.518518518518519,0.21885521885521886,0.013289036544850499
EWR,20069,8.085455179630275,0.15745677412925407,0.03971481889085602
EYW,1660,20.16867469879518,0.2668674698795181,0.020070838252656435
FAI,381,5.304461942257218,0.1942257217847769,0.03299492385786802
FAR,1045,18.0688995215311,0.16650717703349283,0.02427637721755369
FAT,1710,8.739766081871345,0.17485380116959065,0.008120649651972157
FAY,224,6.508928571428571,0.11607142857142858,0.013215859030837005
FCA,471,16.577494692144374,0.2632696390658174,0.03877551020408163
FLG,235,20.00851063829787,0.20425531914893616,0.00423728813559322
FLL,16571,17.35918170297508,0.2816969404381148,0.018363841004679818
FNT,354,10.774011299435028,0.2570621468926554,0.022099447513812154
FOD,102,7.637254901960785,0.16666666666666666,0.06422018348623854
FSD,1148,14.365853658536585,0.2273519163763066,0.022146507666098807
FSM,180,19.31111111111111,0.2722222222222222,0.05759162303664921
FWA,623,17.70465489566613,0.24879614767255218,0.03260869565217391
GCC,119,7.705882352941177,0.15126050420168066,0.032520325203252036
GCK,120,14.716666666666667,0.175,0.0625
GEG,2471,10.021853500607042,0.18413597733711048,0.020222045995241873
GFK,229,13.187772925764191,0.1572052401746725,0.01293103448275862
GGG,119,11.983193277310924,0.23529411764705882,0.02459016393442623
GJT,567,10.333333333333334,0.17989417989417988,0.008741258741258742
GNV,390,2.3435897435897437,0.10256410256410256,0.012658227848101266
GPT,472,10.527542372881356,0.13135593220338984,0.010482180293501049
GRB,684,20.614035087719298,0.19444444444444445,0.03389830508474576
GRI,157,15.980891719745223,0.1910828025477707,0.030864197530864196
GRK,245,7.061224489795919,0.16326530612244897,0.03543307086614173
GRR,3067,14.830779263123574,0.21258558852298662,0.03279722485020498
GSO,1816,6.897577092511013,0.14151982378854625,0.015184381778741865
GSP,2371,6.9641501476170395,0.1433994095318431,0.019842910293509715
GTF,428,22.070093457943926,0.21495327102803738,0.016091954022988506
GTR,120,6.975,0.09166666666666666,0.047619047619047616
GUC,189,18.703703703703702,0.21164021164021163,0.015625
GUM,120,-1.7,0.016666666666666666,0.0
HDN,844,17.941943127962084,0.283175355450237,0.008225616921269096
HGR,34,31.205882352941178,0.3235294117647059,0.0
HHH,135,2.6,0.14814814814814814,0.0425531914893617
HIB,101,8.01980198019802,0.1782178217821782,0.00980392156862745
HLN,306,20.46078431372549,0.23202614379084968,0.019230769230769232
HNL,9947,10.459032874233436,0.1724137931034483,0.01767726644282046
HOU,8804,9.224670604270786,0.18491594729668331,0.011341942728804042
HPN,2086,15.094439117929051,0.22099712368168745,0.02203469292076887
HRL,660,4.833333333333333,0.13484848484848486,0.007518796992481203
HSV,1343,9.466865227103499,0.17721518987341772,0.03589375448671931
HTS,37,11.945945945945946,0.40540540540540543,0.0
HYS,119,5.80672268907563,0.18487394957983194,0.05555555555555555
IAD,7749,6.832494515421344,0.15950445218737902,0.03667329686723023
IAG,79,26.31645569620253,0.31645569620253167,0.024691358024691357
IAH,17397,13.005920561016268,0.19560843823647756,0.03242491657397108
ICT,1446,8.642461964038727,0.17427385892116182,0.013642564802182811
IDA,415,20.573493975903613,0.163855421686747,0.011904761904761904
ILM,970,6.043298969072165,0.13711340206185568,0.018218623481781375
IMT,119,26.6218487394958,0.2184873949579832,0.008333333333333333
IND,6987,8.335623300415056,0.17346500644053242,0.01591549295774648
INL,101,-0.37623762376237624,0.09900990099009901,0.028846153846153848
ISP,935,11.044919786096257,0.19786096256684493,0.014752370916754479
ITH,120,8.108333333333333,0.10833333333333334,0.047619047619047616
ITO,1146,2.5087260034904015,0.1474694589877836,0.006932409012131715
JAC,1075,24.73581395348837,0.266046511627907,0.011039558417663294
JAN,1024,6.34375,0.1337890625,0.01253616200578592
JAX,4491,9.235136940547763,0.16922734357604097,0.011881188118811881
JFK,18713,10.973654678565703,0.19248650670656764,0.020979386836873497
JLN,101,13.94059405940594,0.15841584158415842,0.06481481481481481
JMS,110,20.98181818181818,0.10909090909090909,0.12
JNU,653,7.575803981623277,0.2113323124042879,0.03259259259259259
JST,120,10.625,0.16666666666666666,0.09090909090909091
KOA,2687,9.949758094529214,0.16412355787123187,0.03240907454087144
KTN,356,-0.6460674157303371,0.1404494382022472,0.04043126684636118
LAN,206,16.533980582524272,0.22815533980582525,0.037383177570093455
LAR,102,-0.47058823529411764,0.11764705882352941,0.07272727272727272
LAS,29012,10.747035709361644,0.2027092237694747,0.016409004610794684
LAW,177,13.655367231638419,0.15819209039548024,0.03278688524590164
LAX,29382,9.611701041453951,0.18218637260908038,0.017948460844279555
LBB,919,9.517954298150164,0.1719260065288357,0.022340425531914895
LBE,60,11.033333333333333,0.21666666666666667,0.01639344262295082
LBF,101,14.069306930693068,0.16831683168316833,0.028846153846153848
LBL,41,12.609756097560975,0.14634146341463414,0.046511627906976744
LCH,180,24.461111111111112,0.23333333333333334,0.02702702702702703
LCK,113,3.6548672566371683,0.17699115044247787,0.0
LEX,1259,11.887212073073869,0.20492454328832407,0.012549019607843137
LFT,429,15.827505827505828,0.19114219114219114,0.035955056179775284
LGA,25344,10.086845012626263,0.1676925505050505,0.03215458642022455
LGB,2879,6.747481764501563,0.15630427231677665,0.011332417582417582
LIH,2538,8.898345153664303,0.18518518518518517,0.008206330597889801
LIT,1759,9.882888004548038,0.19670267197271177,0.01566871852266368
LNK,103,14.79611650485437,0.18446601941747573,0.02830188679245283
LRD,250,9.5,0.164,0.007936507936507936
LSE,10,14.2,0.1,0.09090909090909091
LWS,180,28.33888888888889,0.21666666666666667,0.021739130434782608
MAF,1327,5.569706103993972,0.14242652599849284,0.015578635014836795
MBS,323,22.789473684210527,0.25386996904024767,0.061046511627906974
MCI,7270,10.716643741403026,0.20522696011004127,0.026121902210314803
MCO,27873,13.41125820686686,0.23427689879094465,0.016200762388818297
MCW,102,12.607843137254902,0.17647058823529413,0.08928571428571429
MDT,721,10.787794729542302,0.1636615811373093,0.01904761904761905
MDW,11122,10.215788527243301,0.1875561949289696,0.04310418996816657
MEI,102,6.901960784313726,0.10784313725490197,0.05555555555555555
MEM,3246,8.971349353049908,0.1725200246457178,0.019927536231884056
MFE,572,13.022727272727273,0.17307692307692307,0.01718213058419244
MFR,705,11.578723404255319,0.1347517730496454,0.005641748942172073
MGM,379,16.308707124010553,0.22691292875989447,0.018134715025906734
MHK,165,7.890909090909091,0.14545454545454545,0.011976047904191617
MHT,691,8.08972503617945,0.1649782923299566,0.019858156028368795
MIA,19762,16.911446209897782,0.2883817427385892,0.014069048094192776
MKE,4279,12.511801822855807,0.19233465763028745,0.034739454094292806
MLB,446,4.116591928251121,0.1367713004484305,0.0
MLI,671,18.08047690014903,0.20417287630402384,0.06545961002785515
MLU,300,12.386666666666667,0.22,0.02280130293159609
MOB,421,12.327790973871734,0.1543942992874109,0.007075471698113208
MOT,363,28.159779614325068,0.21212121212121213,0.05714285714285714
MQT,88,8.409090909090908,0.11363636363636363,0.03296703296703297
MRY,608,10.927631578947368,0.13980263157894737,0.014586709886547812
MSN,1680,14.789285714285715,0.2017857142857143,0.024956471271038887
MSO,455,18.661538461538463,0.21978021978021978,0.036016949152542374
MSP,18244,9.486461302345976,0.15424249068186802,0.011058109280138768
MSY,8106,11.440044411547003,0.1991117690599556,0.01470766986750942
MTJ,732,13.959016393442623,0.20355191256830601,0.010810810810810811
MYR,1617,6.066171923314781,0.11997526283240569,0.01040391676866585
OAJ,146,12.45890410958904,0.11643835616438356,0.006802721088435374
OAK,6721,8.129147448296385,0.17051034072310667,0.013358778625954198
OGG,4334,7.209967697277342,0.16428241808952468,0.024971878515185602
OKC,3330,7.912912912912913,0.17477477477477477,0.01914580265095729
OMA,3698,13.018929150892374,0.19307733910221742,0.029905561385099685
OME,59,1.6440677966101696,0.1694915254237288,0.09230769230769231
ONT,3619,9.97872340425532,0.14368610113290964,0.014701878573373264
ORD,39874,14.003134874855796,0.2171088930129909,0.03567196304626472
ORF,2909,6.753523547610863,0.15881746304572017,0.01423246357167062
ORH,224,15.334821428571429,0.20982142857142858,0.05084745762711865
OTH,32,27.28125,0.34375,0.058823529411764705
OTZ,59,-6.406779661016949,0.13559322033898305,0.09230769230769231
PAE,228,1.206140350877193,0.17543859649122806,0.109375
PBG,89,23.59550561797753,0.34831460674157305,0.0
PBI,5726,14.974676912329723,0.20537897310513448,0.02136386942403008
PDX,8292,10.186927158707187,0.18861553304389772,0.04700609125387886
PGD,1124,8.97153024911032,0.20462633451957296,0.007067137809187279
PHL,13501,11.958447522405748,0.20035552922005778,0.014597474636887818
PHX,30201,9.053342604549519,0.17641799940399325,0.011164953179228602
PIA,564,15.148936170212766,0.21099290780141844,0.056856187290969896
PIB,102,19.313725490196077,0.11764705882352941,0.02857142857142857
PIE,1173,7.3768115942028984,0.17050298380221654,0.004244482173174873
PIH,120,-3.8333333333333335,0.09166666666666666,0.0
PIT,6378,6.62041392285983,0.15678896205707119,0.014980694980694981
PLN,102,20.794117647058822,0.1568627450980392,0.10526315789473684
PNS,1747,12.429307384087005,0.1551230681167716,0.010198300283286119
PPG,19,7.105263157894737,0.3157894736842105,0.0
PRC,120,26.933333333333334,0.225,0.01639344262295082
PSC,725,14.852413793103448,0.19586206896551725,0.017615176151761516
PSE,177,5.954802259887006,0.2033898305084746,0.0111731843575419
PSG,118,-3.1440677966101696,0.1694915254237288,0.04838709677419355
PSM,57,38.63157894736842,0.19298245614035087,0.0
