year,month,avg_arr_delay,n_flights
2024,1,10.322590257401087,526882
2024,2,0.5923629312365488,516219
2024,3,6.490794293672344,586647
2024,4,5.349469879101302,578170
2024,5,13.996319195875637,601499
2024,6,11.76838357181694,603256
2024,7,18.024711111399597,616241
2024,8,10.552511829737544,606311
2024,9,0.9952928825137319,579123
2024,10,-1.2812645166797163,609213
2024,11,-0.32413425865304873,572775
2024,12,7.097048241051788,586430
2025,1,3.748245722964647,523435
2025,2,5.707398704266914,497479
2025,3,5.436416257961542,593949
2025,4,5.6514966254257075,579036
2025,5,10.159074526450683,599304
2025,6,15.531068940364449,601839
2025,7,17.257530176717456,615955
2025,8,9.208677703286654,595895
2025,9,2.3111769573212904,559553
2025,10,5.5756288995088275,602640
