airline,n_delayed_flights,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_security_delay,avg_late_aircraft_delay
9E,5359,24.152827019966413,10.0039186415376,16.196305280835976,0.013621944392610563,35.079492442619895
AA,36256,27.178811782877318,4.855279126213592,11.665214033539277,0.2452559576345984,36.55590798764342
AS,6864,16.54763986013986,2.9117132867132867,12.507284382284382,0.3476107226107226,25.922348484848484
B6,10204,30.683065464523715,2.0846726773814193,13.622206977655821,0.0939827518620149,28.64327714621717
DL,21925,31.130763968072976,6.745085518814139,13.75721778791334,0.10207525655644242,18.040456100342077
F9,6623,20.659519855050583,2.406311339272233,15.494186924354523,0.0,41.59081987014948
G4,3367,30.72824472824473,14.433620433620433,18.6976536976537,0.23314523314523314,29.99019899019899
HA,2879,24.524487669329627,2.7210837096213965,2.952066689822855,0.10072941993747829,17.752691906912123
MQ,7937,13.048129016001008,9.828398639284364,14.151820587123598,0.1351896182436689,27.18369661081013
NK,9538,17.042881107150347,1.855525267351646,25.366009645628015,0.5987628433633886,18.751625078632838
OH,6057,23.45699191018656,8.798415056958891,11.676407462440151,0.17203235925375598,36.690936106983656
OO,21854,40.74874164912602,18.58538482657637,13.083508739818798,0.21483481284890638,18.003935206369544
UA,20702,22.282919524683606,6.280311081054971,17.491546710462757,0.006859240653076998,31.293643126267995
WN,43514,14.077722112423588,1.0752861148136232,10.413751895941536,0.18722709932435538,24.272418072344532
YX,5367,16.66629401900503,6.815912055151854,20.794857462269423,0.053288615613937024,24.875535681013602
