airline,n_flights,avg_arr_delay,avg_dep_delay,pct_arr_del15
9E,195486,1.6783503678012748,8.27631134710414,0.15797550719744635
AA,1768406,14.719866365529183,19.98848228291467,0.2592577722536567
AS,443333,4.658847863795386,7.8310299481428185,0.22438212359558166
B6,424916,10.273741162959267,16.670643138879214,0.25280761374012745
DL,1849431,4.448292474820634,10.703402830384048,0.1822225322274797
F9,365379,15.0336034638006,19.122002085505734,0.28344814562413273
G4,224478,11.15314641078413,14.630293391780041,0.2298933525779809
HA,144172,5.030102932608274,6.160315456538024,0.15736065255389395
MQ,520116,6.4124522221965865,9.694850764060325,0.2091937183243738
NK,424810,7.319102657658718,13.734897954379605,0.22553141404392552
OH,422739,13.091366067478988,16.7110297370245,0.24149179517385433
OO,1431239,7.8117491208666054,11.523985861201378,0.19598194291798923
UA,1405414,6.41399402595961,12.010305860052625,0.20524984097212637
WN,2558344,5.514559418123599,12.172554980878255,0.20818427858020658
YX,573588,1.6215001011178756,6.338038801369624,0.17075148015648864
